 Tue, 9 Oct 2001 11:11:58 -0700 (PDT)ring|beck|
 Tue, 8 Jan 2002 10:33:26 -0800 (PST)
 Fri, 9 Nov 2001 14:50:38 -0800 (PST)
 Thu, 20 Dec 2001 15:32:52 -0800 (PST)
 Wed, 9 Jan 2002 13:55:16 -0800 (PST)
 Thu, 15 Nov 2001 19:28:48 -0800 (PST)
 Thu, 20 Dec 2001 13:51:45 -0800 (PST)
 Tue, 1 Jan 2002 11:17:50 -0800 (PST)
 Thu, 10 Jan 2002 11:30:43 -0800 (PST)
 Fri, 9 Nov 2001 08:37:27 -0800 (PST)
 Fri, 16 Nov 2001 12:25:20 -0800 (PST)
 Thu, 17 Jan 2002 12:19:43 -0800 (PST)
 Fri, 18 Jan 2002 07:00:27 -0800 (PST)
 Tue, 9 Oct 2001 10:26:30 -0700 (PDT)
 Wed, 16 Jan 2002 06:50:38 -0800 (PST)
 Fri, 2 Nov 2001 15:18:19 -0800 (PST)
 Wed, 2 May 2001 11:00:06 -0700 (PDT)
 Mon, 19 Nov 2001 07:42:36 -0800 (PST)
 Mon, 15 Oct 2001 16:52:50 -0700 (PDT)
 Fri, 4 Jan 2002 11:21:35 -0800 (PST)
 Wed, 21 Nov 2001 06:32:58 -0800 (PST)
 Mon, 26 Nov 2001 18:16:14 -0800 (PST)
 Wed, 6 Jun 2001 08:26:13 -0700 (PDT)
 Wed, 9 Jan 2002 16:38:01 -0800 (PST)
 Tue, 23 Oct 2001 05:39:15 -0700 (PDT)
 Mon, 7 May 2001 10:56:36 -0700 (PDT)
 Wed, 31 Oct 2001 11:58:34 -0800 (PST)
 Mon, 7 May 2001 10:52:52 -0700 (PDT)
 Mon, 5 Nov 2001 12:09:24 -0800 (PST)
 Mon, 4 Jun 2001 09:39:26 -0700 (PDT)
 Mon, 7 Jan 2002 04:38:21 -0800 (PST)
 Wed, 14 Nov 2001 11:25:17 -0800 (PST)
 Fri, 11 Jan 2002 13:25:50 -0800 (PST)
 Fri, 11 Jan 2002 04:38:28 -0800 (PST)
 Tue, 23 Oct 2001 10:32:31 -0700 (PDT)
 Thu, 1 Nov 2001 09:17:42 -0800 (PST)
 Tue, 30 Oct 2001 10:20:31 -0800 (PST)
 Tue, 22 May 2001 15:30:50 -0700 (PDT)
 Wed, 9 Jan 2002 14:29:50 -0800 (PST)
 Wed, 16 May 2001 06:43:15 -0700 (PDT)
 Fri, 18 Jan 2002 07:40:27 -0800 (PST)
 Mon, 26 Nov 2001 06:24:06 -0800 (PST)
 Thu, 7 Jun 2001 11:21:27 -0700 (PDT)
 Tue, 29 May 2001 15:38:05 -0700 (PDT)
 Fri, 12 Oct 2001 06:21:21 -0700 (PDT)
 Wed, 16 Jan 2002 04:38:20 -0800 (PST)
 Mon, 1 Oct 2001 12:05:54 -0700 (PDT)
 Wed, 31 Oct 2001 07:56:26 -0800 (PST)
 Tue, 16 Oct 2001 15:51:56 -0700 (PDT)
 Wed, 14 Nov 2001 13:40:15 -0800 (PST)
 Tue, 15 Jan 2002 12:17:27 -0800 (PST)
 Fri, 2 Nov 2001 15:11:38 -0800 (PST)
 Sun, 25 Nov 2001 21:18:40 -0800 (PST)
 Wed, 2 Jan 2002 07:20:25 -0800 (PST)
 Thu, 27 Sep 2001 08:59:50 -0700 (PDT)
 Fri, 26 Oct 2001 18:43:55 -0700 (PDT)
 Fri, 18 Jan 2002 15:02:58 -0800 (PST)
 Fri, 11 Jan 2002 04:38:24 -0800 (PST)
 Tue, 8 Jan 2002 21:41:16 -0800 (PST)
 Fri, 18 Jan 2002 14:23:05 -0800 (PST)
 Tue, 15 Jan 2002 16:52:39 -0800 (PST)
 Tue, 15 Jan 2002 14:51:55 -0800 (PST)
 Fri, 25 Jan 2002 07:25:24 -0800 (PST)
 Wed, 26 Dec 2001 13:30:12 -0800 (PST)
 Tue, 29 May 2001 15:04:09 -0700 (PDT)
 Fri, 25 Jan 2002 09:14:21 -0800 (PST)
 Wed, 31 Oct 2001 14:43:29 -0800 (PST)
 Tue, 27 Nov 2001 13:34:57 -0800 (PST)
 Tue, 3 Apr 2001 16:55:00 -0700 (PDT)
 Tue, 3 Apr 2001 18:01:00 -0700 (PDT)
 Mon, 7 Jan 2002 13:44:12 -0800 (PST)
 Thu, 17 May 2001 06:28:48 -0700 (PDT)
 Mon, 19 Nov 2001 11:38:05 -0800 (PST)
 Tue, 8 May 2001 12:10:24 -0700 (PDT)
 Tue, 9 Oct 2001 16:26:50 -0700 (PDT)
 Mon, 19 Nov 2001 14:17:59 -0800 (PST)
 Fri, 5 Oct 2001 14:44:31 -0700 (PDT)
 Mon, 17 Dec 2001 14:04:38 -0800 (PST)
 Tue, 13 Nov 2001 07:56:58 -0800 (PST)
 Thu, 20 Dec 2001 10:15:33 -0800 (PST)
 Fri, 5 Oct 2001 13:53:56 -0700 (PDT)
 Thu, 18 Oct 2001 15:04:00 -0700 (PDT)
 Tue, 22 May 2001 13:22:36 -0700 (PDT)
 Tue, 20 Nov 2001 13:09:43 -0800 (PST)
 Fri, 11 Jan 2002 13:50:39 -0800 (PST)
 Fri, 11 May 2001 12:14:47 -0700 (PDT)
 Wed, 16 Jan 2002 09:22:08 -0800 (PST)
 Mon, 29 Oct 2001 08:57:03 -0800 (PST)
 Thu, 1 Nov 2001 08:24:30 -0800 (PST)
 Thu, 17 Jan 2002 12:53:50 -0800 (PST)
 Mon, 26 Nov 2001 18:47:22 -0800 (PST)
 Wed, 9 May 2001 12:02:47 -0700 (PDT)
 Thu, 18 Oct 2001 10:59:55 -0700 (PDT)
 Wed, 16 Jan 2002 11:48:48 -0800 (PST)
 Fri, 25 Jan 2002 07:37:43 -0800 (PST)
 Fri, 4 May 2001 08:04:24 -0700 (PDT)
 Thu, 3 Jan 2002 17:22:37 -0800 (PST)
 Tue, 13 Nov 2001 09:29:56 -0800 (PST)
 Tue, 27 Nov 2001 16:32:35 -0800 (PST)
 Wed, 16 Jan 2002 08:14:12 -0800 (PST)
 Tue, 8 May 2001 17:53:35 -0700 (PDT)
 Wed, 9 May 2001 12:02:26 -0700 (PDT)
 Tue, 30 Oct 2001 19:13:04 -0800 (PST)
 Tue, 15 Jan 2002 08:07:31 -0800 (PST)
 Wed, 16 May 2001 18:31:21 -0700 (PDT)
 Wed, 26 Sep 2001 10:44:24 -0700 (PDT)
 Mon, 23 Apr 2001 13:24:00 -0700 (PDT)
 Thu, 10 May 2001 07:25:01 -0700 (PDT)
 Tue, 6 Nov 2001 15:11:30 -0800 (PST)
 Tue, 15 Jan 2002 14:20:19 -0800 (PST)
 Wed, 9 May 2001 15:27:32 -0700 (PDT)
 Mon, 29 Oct 2001 09:20:08 -0800 (PST)
 Mon, 12 Nov 2001 13:29:54 -0800 (PST)
 Mon, 4 Jun 2001 14:45:18 -0700 (PDT)
 Tue, 15 Jan 2002 09:15:37 -0800 (PST)
 Thu, 7 Jun 2001 14:30:56 -0700 (PDT)
 Wed, 7 Nov 2001 11:44:41 -0800 (PST)
 Thu, 20 Dec 2001 09:17:38 -0800 (PST)
 Fri, 16 Nov 2001 15:28:17 -0800 (PST)
 Wed, 19 Dec 2001 08:23:34 -0800 (PST)
 Wed, 9 Jan 2002 15:08:11 -0800 (PST)
 Tue, 8 May 2001 22:53:57 -0700 (PDT)
 Thu, 27 Dec 2001 07:29:52 -0800 (PST)
 Fri, 8 Jun 2001 06:17:30 -0700 (PDT)
 Wed, 14 Nov 2001 14:13:07 -0800 (PST)
 Wed, 24 Oct 2001 08:26:34 -0700 (PDT)
 Fri, 18 May 2001 07:09:31 -0700 (PDT)
 Thu, 3 Jan 2002 10:20:39 -0800 (PST)
 Wed, 14 Nov 2001 12:10:49 -0800 (PST)
 Thu, 10 Jan 2002 08:32:48 -0800 (PST)
 Fri, 12 Oct 2001 06:45:54 -0700 (PDT)
 Wed, 16 May 2001 06:34:04 -0700 (PDT)
 Tue, 15 May 2001 20:52:10 -0700 (PDT)
 Mon, 26 Nov 2001 14:29:59 -0800 (PST)
 Tue, 15 May 2001 12:35:57 -0700 (PDT)
 Mon, 29 Oct 2001 08:35:20 -0800 (PST)
 Tue, 8 Jan 2002 17:07:15 -0800 (PST)
 Wed, 2 Jan 2002 15:16:58 -0800 (PST)
 Mon, 15 Oct 2001 13:28:52 -0700 (PDT)
 Mon, 19 Nov 2001 14:11:55 -0800 (PST)
 Tue, 8 May 2001 13:51:56 -0700 (PDT)
 Mon, 17 Dec 2001 06:39:14 -0800 (PST)
 Thu, 24 May 2001 08:55:44 -0700 (PDT)
 Mon, 29 Oct 2001 13:01:46 -0800 (PST)
 Mon, 26 Nov 2001 21:23:18 -0800 (PST)
 Thu, 7 Jun 2001 10:02:59 -0700 (PDT)
 Wed, 9 Jan 2002 16:39:18 -0800 (PST)
 Fri, 11 Jan 2002 10:59:03 -0800 (PST)
 Fri, 16 Nov 2001 15:29:14 -0800 (PST)
 Fri, 11 Jan 2002 04:38:25 -0800 (PST)
 Mon, 31 Dec 2001 10:53:43 -0800 (PST)
 Wed, 23 May 2001 08:46:05 -0700 (PDT)
 Fri, 2 Nov 2001 15:23:53 -0800 (PST)
 Thu, 17 May 2001 06:38:41 -0700 (PDT)
 Sun, 13 May 2001 17:33:51 -0700 (PDT)
 Wed, 9 May 2001 09:08:19 -0700 (PDT)
 Thu, 20 Dec 2001 09:06:13 -0800 (PST)
 Fri, 5 Oct 2001 14:58:35 -0700 (PDT)
 Tue, 24 Apr 2001 08:24:30 -0700 (PDT)
 Thu, 11 Oct 2001 07:34:55 -0700 (PDT)
 Tue, 30 Oct 2001 11:41:16 -0800 (PST)
 Thu, 3 Jan 2002 10:28:26 -0800 (PST)
 Fri, 11 Jan 2002 07:05:38 -0800 (PST)
 Mon, 15 Oct 2001 11:22:19 -0700 (PDT)
 Tue, 30 Oct 2001 11:47:13 -0800 (PST)
 Tue, 20 Nov 2001 17:40:28 -0800 (PST)
 Mon, 12 Nov 2001 14:03:53 -0800 (PST)
 Fri, 18 May 2001 11:00:20 -0700 (PDT)
 Wed, 6 Jun 2001 14:20:30 -0700 (PDT)
 Mon, 26 Nov 2001 11:50:29 -0800 (PST)
 Tue, 20 Nov 2001 21:23:01 -0800 (PST)
 Tue, 20 Nov 2001 14:15:32 -0800 (PST)
 Mon, 17 Dec 2001 07:52:57 -0800 (PST)
 Mon, 22 Oct 2001 18:21:56 -0700 (PDT)
 Wed, 30 May 2001 14:52:05 -0700 (PDT)
 Fri, 16 Nov 2001 13:55:17 -0800 (PST)
 Mon, 12 Nov 2001 11:05:38 -0800 (PST)
 Thu, 1 Nov 2001 08:01:49 -0800 (PST)
 Fri, 18 Jan 2002 07:48:59 -0800 (PST)
 Wed, 16 Jan 2002 04:38:36 -0800 (PST)
 Mon, 4 Jun 2001 06:11:40 -0700 (PDT)
 Tue, 29 May 2001 09:46:07 -0700 (PDT)
 Thu, 25 Oct 2001 09:29:39 -0700 (PDT)
 Mon, 14 Jan 2002 07:03:15 -0800 (PST)
 Fri, 25 Jan 2002 07:51:31 -0800 (PST)
 Wed, 19 Dec 2001 08:24:23 -0800 (PST)
 Wed, 2 Jan 2002 14:09:37 -0800 (PST)
 Wed, 9 May 2001 12:02:08 -0700 (PDT)
 Mon, 14 Jan 2002 11:10:41 -0800 (PST)
 Mon, 19 Nov 2001 16:20:31 -0800 (PST)
 Thu, 17 Jan 2002 04:38:23 -0800 (PST)
 Tue, 13 Nov 2001 16:22:59 -0800 (PST)
 Thu, 17 Jan 2002 08:52:46 -0800 (PST)
 Thu, 17 Jan 2002 09:03:03 -0800 (PST)
 Mon, 19 Nov 2001 15:33:44 -0800 (PST)
 Tue, 20 Nov 2001 12:03:26 -0800 (PST)
 Tue, 20 Nov 2001 06:53:25 -0800 (PST)
 Tue, 27 Nov 2001 12:39:07 -0800 (PST)
 Tue, 13 Nov 2001 14:44:32 -0800 (PST)
 Mon, 7 May 2001 11:55:30 -0700 (PDT)
 Tue, 27 Nov 2001 13:44:06 -0800 (PST)
 Mon, 12 Nov 2001 08:38:00 -0800 (PST)
 Wed, 23 May 2001 11:06:07 -0700 (PDT)
 Tue, 22 May 2001 15:48:25 -0700 (PDT)
 Mon, 14 Jan 2002 13:50:49 -0800 (PST)
 Tue, 27 Nov 2001 14:07:32 -0800 (PST)
 Wed, 9 May 2001 14:27:57 -0700 (PDT)
 Mon, 19 Nov 2001 13:01:04 -0800 (PST)
 Thu, 3 Jan 2002 14:10:02 -0800 (PST)
 Tue, 13 Nov 2001 09:08:08 -0800 (PST)
 Mon, 19 Nov 2001 10:06:26 -0800 (PST)
 Wed, 30 May 2001 23:00:48 -0700 (PDT)
 Fri, 8 Jun 2001 12:39:37 -0700 (PDT)
 Mon, 7 May 2001 09:15:42 -0700 (PDT)
 Tue, 8 Jan 2002 08:38:01 -0800 (PST)
 Fri, 12 Oct 2001 12:38:51 -0700 (PDT)
 Tue, 8 Jan 2002 12:06:15 -0800 (PST)
 Wed, 6 Jun 2001 13:08:21 -0700 (PDT)
 Tue, 8 Jan 2002 04:38:25 -0800 (PST)
 Fri, 1 Jun 2001 20:46:28 -0700 (PDT)
 Mon, 7 Jan 2002 13:27:36 -0800 (PST)
 Wed, 16 Jan 2002 04:38:28 -0800 (PST)
 Mon, 15 Oct 2001 12:48:42 -0700 (PDT)
 Mon, 15 Oct 2001 07:56:21 -0700 (PDT)
 Fri, 28 Dec 2001 11:35:20 -0800 (PST)
 Wed, 2 Jan 2002 13:50:21 -0800 (PST)
 Mon, 7 May 2001 10:54:06 -0700 (PDT)
 Fri, 19 Oct 2001 15:20:12 -0700 (PDT)
 Mon, 17 Dec 2001 09:02:09 -0800 (PST)
 Wed, 24 Oct 2001 13:58:50 -0700 (PDT)
 Mon, 22 Oct 2001 07:43:51 -0700 (PDT)
 Thu, 17 Jan 2002 09:13:12 -0800 (PST)
 Fri, 18 Jan 2002 07:34:51 -0800 (PST)
 Thu, 20 Dec 2001 13:55:08 -0800 (PST)
 Sun, 11 Nov 2001 15:44:12 -0800 (PST)
 Fri, 1 Jun 2001 14:42:47 -0700 (PDT)
 Wed, 9 Jan 2002 13:24:57 -0800 (PST)
 Tue, 8 Jan 2002 15:10:11 -0800 (PST)
 Wed, 23 May 2001 15:54:04 -0700 (PDT)
 Thu, 8 Nov 2001 15:05:10 -0800 (PST)
 Fri, 4 Jan 2002 12:44:58 -0800 (PST)
 Mon, 29 Oct 2001 07:44:26 -0800 (PST)
 Thu, 17 Jan 2002 04:38:22 -0800 (PST)
 Wed, 14 Nov 2001 07:52:00 -0800 (PST)
 Wed, 16 Jan 2002 04:38:24 -0800 (PST)
 Sat, 5 Jan 2002 15:49:33 -0800 (PST)
 Fri, 11 May 2001 15:25:41 -0700 (PDT)
 Thu, 17 Jan 2002 09:43:48 -0800 (PST)
 Fri, 9 Nov 2001 14:21:36 -0800 (PST)
 Wed, 6 Jun 2001 10:17:33 -0700 (PDT)
 Wed, 2 Jan 2002 13:35:14 -0800 (PST)
 Wed, 24 Oct 2001 06:57:57 -0700 (PDT)
 Tue, 8 Jan 2002 11:14:03 -0800 (PST)
 Wed, 6 Jun 2001 12:00:36 -0700 (PDT)
 Fri, 1 Jun 2001 09:38:29 -0700 (PDT)
 Tue, 13 Nov 2001 15:01:18 -0800 (PST)
 Thu, 10 Jan 2002 12:32:37 -0800 (PST)
 Tue, 8 Jan 2002 04:38:27 -0800 (PST)
 Thu, 22 Nov 2001 21:16:48 -0800 (PST)
 Thu, 7 Jun 2001 12:59:47 -0700 (PDT)
 Thu, 25 Oct 2001 06:52:59 -0700 (PDT)
 Tue, 16 Oct 2001 12:13:57 -0700 (PDT)
 Wed, 9 Jan 2002 07:07:59 -0800 (PST)
 Sun, 20 Jan 2002 07:14:18 -0800 (PST)
 Mon, 7 May 2001 07:02:50 -0700 (PDT)
 Mon, 5 Nov 2001 11:17:36 -0800 (PST)
 Thu, 17 Jan 2002 07:19:49 -0800 (PST)
 Wed, 16 Jan 2002 15:26:06 -0800 (PST)
 Tue, 15 Jan 2002 08:31:43 -0800 (PST)
 Wed, 9 Jan 2002 09:39:11 -0800 (PST)
 Wed, 23 May 2001 16:10:47 -0700 (PDT)
 Tue, 30 Oct 2001 09:45:27 -0800 (PST)
 Wed, 24 Oct 2001 05:58:05 -0700 (PDT)
 Fri, 4 May 2001 15:27:12 -0700 (PDT)
 Wed, 6 Jun 2001 13:30:56 -0700 (PDT)
 Tue, 8 Jan 2002 04:38:21 -0800 (PST)
 Mon, 7 Jan 2002 04:38:25 -0800 (PST)
 Mon, 15 Oct 2001 14:53:40 -0700 (PDT)
 Thu, 17 Jan 2002 06:06:17 -0800 (PST)
 Wed, 14 Nov 2001 11:19:22 -0800 (PST)
 Mon, 29 Oct 2001 11:13:37 -0800 (PST)
 Wed, 21 Nov 2001 08:51:11 -0800 (PST)
 Mon, 15 Oct 2001 12:51:06 -0700 (PDT)
 Wed, 6 Jun 2001 15:39:22 -0700 (PDT)
 Tue, 27 Nov 2001 15:25:53 -0800 (PST)
 Wed, 21 Nov 2001 11:16:27 -0800 (PST)
 Thu, 7 Jun 2001 16:28:03 -0700 (PDT)
 Wed, 9 Jan 2002 13:45:25 -0800 (PST)
 Wed, 31 Oct 2001 15:06:47 -0800 (PST)
 Thu, 31 May 2001 08:54:45 -0700 (PDT)
 Thu, 20 Dec 2001 13:52:17 -0800 (PST)
 Thu, 17 Jan 2002 04:38:20 -0800 (PST)
 Thu, 20 Dec 2001 09:35:46 -0800 (PST)
 Fri, 1 Jun 2001 13:09:19 -0700 (PDT)
 Mon, 7 Jan 2002 04:38:22 -0800 (PST)
 Thu, 10 May 2001 17:16:03 -0700 (PDT)
 Mon, 31 Dec 2001 07:55:59 -0800 (PST)
 Thu, 8 Nov 2001 08:56:48 -0800 (PST)
 Mon, 7 Jan 2002 06:42:18 -0800 (PST)
 Tue, 2 Oct 2001 09:26:03 -0700 (PDT)
 Thu, 7 Jun 2001 06:52:13 -0700 (PDT)
 Fri, 9 Nov 2001 14:56:36 -0800 (PST)
 Tue, 13 Nov 2001 07:53:48 -0800 (PST)
 Fri, 11 Jan 2002 14:27:34 -0800 (PST)
 Fri, 11 Jan 2002 12:11:49 -0800 (PST)
 Mon, 14 Jan 2002 11:55:53 -0800 (PST)
 Thu, 8 Nov 2001 11:37:51 -0800 (PST)
 Mon, 5 Nov 2001 11:41:36 -0800 (PST)
 Fri, 26 Oct 2001 06:52:19 -0700 (PDT)
 Thu, 10 Jan 2002 09:30:50 -0800 (PST)
 Fri, 4 Jan 2002 13:25:14 -0800 (PST)
 Tue, 18 Dec 2001 23:25:17 -0800 (PST)
 Tue, 23 Oct 2001 10:02:40 -0700 (PDT)
 Tue, 20 Nov 2001 12:16:22 -0800 (PST)
 Wed, 2 Jan 2002 04:38:27 -0800 (PST)
 Tue, 27 Nov 2001 14:22:02 -0800 (PST)
 Thu, 17 Jan 2002 08:16:14 -0800 (PST)
 Wed, 2 Jan 2002 17:04:56 -0800 (PST)
 Mon, 15 Oct 2001 15:15:45 -0700 (PDT)
 Wed, 2 Jan 2002 07:19:20 -0800 (PST)
 Thu, 7 Jun 2001 07:56:33 -0700 (PDT)
 Mon, 29 Oct 2001 17:20:06 -0800 (PST)
 Thu, 1 Nov 2001 08:09:06 -0800 (PST)
 Fri, 8 Jun 2001 16:39:07 -0700 (PDT)
 Mon, 26 Nov 2001 07:37:31 -0800 (PST)
 Thu, 15 Nov 2001 15:11:15 -0800 (PST)
 Mon, 22 Oct 2001 17:04:29 -0700 (PDT)
 Wed, 16 Jan 2002 14:20:22 -0800 (PST)
 Thu, 8 Nov 2001 05:50:00 -0800 (PST)
 Wed, 9 Jan 2002 09:32:38 -0800 (PST)
 Wed, 16 Jan 2002 11:09:10 -0800 (PST)
 Mon, 7 May 2001 08:18:30 -0700 (PDT)
 Fri, 12 Oct 2001 16:51:14 -0700 (PDT)
